PERMNO	HdrCUSIP	SecurityNm	Ticker	PERMCO	DlyCalDt	DlyPrc	DlyCap	DlyRet	DlyPrcVol
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000103	56.375000	139245122.50	-0.032189	309944056.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000104	55.875000	138010132.50	-0.008869	204144844.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000105	56.937500	140634486.25	0.019016	269240299.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000106	57.000000	140788860.00	0.001098	203182143.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000107	60.750000	150051285.00	0.065789	348455864.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000110	58.812500	145265698.75	-0.031893	256534184.9
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000111	60.812500	150205658.75	0.034006	285763957.9
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000112	61.500000	151903770.00	0.011305	257986288.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000113	60.562500	149588163.75	-0.015244	184897312.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000114	61.062500	150823153.75	0.008256	229387326.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000118	65.000000	160548700.00	0.064483	596400935.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000119	65.250000	161166195.00	0.003846	418037109.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000120	65.875000	162709932.50	0.009579	380092096.6
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000121	66.875000	165179912.50	0.015180	380712620.6
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000124	64.875000	160239952.50	-0.029907	366738375.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000125	65.875000	162709932.50	0.015414	320435696.6
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000126	63.062500	155763113.75	-0.042694	748041005.7
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000127	59.500000	146963810.00	-0.056492	522136240.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000128	56.937500	140634486.25	-0.043067	309603293.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000131	57.437500	141869476.25	0.008782	305435336.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000201	58.125000	143567587.50	0.011970	235830504.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000202	56.375000	139245122.50	-0.030108	201935250.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000203	55.250000	136466395.00	-0.019956	261453994.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000204	56.250000	138936375.00	0.018100	323488068.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000207	56.875000	140480112.50	0.011111	220185818.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000208	57.187500	141251981.25	0.005495	236218630.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000209	57.000000	140788860.00	-0.003279	226552143.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000210	56.687500	140016991.25	-0.005482	227628656.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000211	55.562500	137238263.75	-0.019846	213598863.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000214	54.250000	133996415.00	-0.023622	193509750.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000215	55.687500	137547011.25	0.026498	218595656.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000216	53.750000	132761425.00	-0.034792	184609696.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000217	52.312500	129210828.75	-0.026744	305008031.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000218	51.375000	126895222.50	-0.017921	293952286.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000222	51.750000	127821465.00	0.007299	272800125.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000223	51.250000	126586475.00	-0.009662	282428448.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000224	49.812500	123035878.75	-0.028049	384841362.7
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000225	48.687500	120257151.25	-0.022585	265473413.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000228	49.312500	121800888.75	0.012837	266060613.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000229	48.625000	120102777.50	-0.013942	251537125.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000301	51.000000	125968980.00	0.048843	398111049.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000302	49.625000	122572757.50	-0.026961	281835212.9
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000303	50.125000	123807747.50	0.010076	225828112.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000306	49.000000	121029020.00	-0.022444	192717000.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000307	47.562500	117478423.75	-0.029337	557427696.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000308	47.500000	117324050.00	-0.001314	342987952.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000309	46.625000	115162817.50	-0.018421	288804528.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000310	45.500000	112384090.00	-0.024129	319837654.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000313	43.750000	108061625.00	-0.034725	342264956.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000314	43.375000	107135382.50	-0.008571	242049806.6
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000315	47.562500	117478423.75	0.096542	526474021.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000316	49.750000	122881505.00	0.045992	438053675.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000317	49.125000	121337767.50	-0.012563	356912725.9
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000320	48.562500	119948403.75	-0.011450	164024651.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000321	49.437500	122109636.25	0.018018	211983006.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000322	47.062500	116243433.75	-0.048040	279650034.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000323	47.000000	116089060.00	-0.001328	242844253.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000324	47.000000	116089060.00	0.000000	206076153.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000327	45.250000	111766595.00	-0.037234	238363379.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000328	44.875000	110840352.50	-0.008287	306787937.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000329	46.875000	115780312.50	0.044568	381857765.6
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000330	48.562500	119948403.75	0.036000	456370950.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000331	46.937500	116050668.81	-0.033462	207862718.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000403	49.312500	121922739.94	0.050599	349793238.2
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000404	52.375000	129494621.13	0.062104	760877812.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000405	47.625000	117750478.88	-0.090692	474778339.9
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000406	45.750000	113114633.25	-0.039370	472940625.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000407	46.187500	114196330.56	0.009563	285766635.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000410	45.000000	111260295.00	-0.025710	290317500.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000411	47.750000	118059535.25	0.061111	288753752.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000412	48.500000	119913873.50	0.015707	378018651.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000413	47.250000	116823309.75	-0.025773	210092352.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000414	47.000000	116205197.00	-0.005291	222972653.0
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000417	48.500000	119913873.50	0.031915	259722301.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000418	47.687500	117905007.06	-0.016753	309973471.1
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000419	49.187500	121613683.56	0.031455	247737713.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000420	49.437500	122231796.31	0.005083	204636594.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000424	49.625000	122695380.88	0.003793	232681650.4
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000425	50.500000	124858775.50	0.017632	219967849.5
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000426	49.437500	122231796.31	-0.021040	235722894.3
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000427	48.250000	119295760.75	-0.024020	217684651.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000428	47.250000	116823309.75	-0.020725	178812852.8
11308	19121610	COCA COLA CO; COM NONE; CONS	KO	20468	20000501	46.250000	114350858.75	-0.021164	179311250.0
