Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
03/01/2000,Oracle,ORCL,118.125,0.054099,0.054099
04/01/2000,Oracle,ORCL,107.6875,-0.08836,-0.08836
05/01/2000,Oracle,ORCL,102,-0.052815,-0.052815
06/01/2000,Oracle,ORCL,96,-0.058824,-0.058824
07/01/2000,Oracle,ORCL,103.375,0.076823,0.076823
10/01/2000,Oracle,ORCL,115.75,0.11971,0.11971
11/01/2000,Oracle,ORCL,112.375,-0.029158,-0.029158
12/01/2000,Oracle,ORCL,105.625,-0.060067,-0.060067
13/01/2000,Oracle,ORCL,105.0625,-0.005325,-0.005325
14/01/2000,Oracle,ORCL,106.8125,0.016657,0.016657
18/01/2000,Oracle,ORCL,111.25,0.041545,0.041545
19/01/2000,Oracle,ORCL,57.125,0.026966,0.026966
20/01/2000,Oracle,ORCL,59.25,0.037199,0.037199
21/01/2000,Oracle,ORCL,59.6875,0.007384,0.007384
24/01/2000,Oracle,ORCL,54.1875,-0.092147,-0.092147
25/01/2000,Oracle,ORCL,56.4375,0.041522,0.041522
26/01/2000,Oracle,ORCL,55.0625,-0.024363,-0.024363
27/01/2000,Oracle,ORCL,51.8125,-0.059024,-0.059024
28/01/2000,Oracle,ORCL,47.375,-0.085645,-0.085645
31/01/2000,Oracle,ORCL,49.95313,0.05442,0.05442
01/02/2000,Oracle,ORCL,54,0.081013,0.081013
02/02/2000,Oracle,ORCL,54.3125,0.005787,0.005787
03/02/2000,Oracle,ORCL,56.6875,0.043728,0.043728
04/02/2000,Oracle,ORCL,57.8125,0.019846,0.019846
07/02/2000,Oracle,ORCL,59.9375,0.036757,0.036757
08/02/2000,Oracle,ORCL,59.5625,-0.006257,-0.006257
09/02/2000,Oracle,ORCL,59.9375,0.006296,0.006296
10/02/2000,Oracle,ORCL,62.3125,0.039625,0.039625
11/02/2000,Oracle,ORCL,59.6875,-0.042126,-0.042126
14/02/2000,Oracle,ORCL,62.1875,0.041885,0.041885
15/02/2000,Oracle,ORCL,61.375,-0.013065,-0.013065
16/02/2000,Oracle,ORCL,61.25,-0.002037,-0.002037
17/02/2000,Oracle,ORCL,61.625,0.006122,0.006122
18/02/2000,Oracle,ORCL,58.5625,-0.049696,-0.049696
22/02/2000,Oracle,ORCL,59.3125,0.012807,0.012807
23/02/2000,Oracle,ORCL,63.0625,0.063224,0.063224
24/02/2000,Oracle,ORCL,61.9375,-0.017839,-0.017839
25/02/2000,Oracle,ORCL,70.625,0.140262,0.140262
28/02/2000,Oracle,ORCL,68.625,-0.028319,-0.028319
29/02/2000,Oracle,ORCL,74.25,0.081967,0.081967
01/03/2000,Oracle,ORCL,71.5,-0.037037,-0.037037
